,departuretime,callsign,company,destinationairport,actype,registration,stand,route
,9:10:00,ROU1961,Air Canada,CYUL,B763,CFMLV,504,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 47N050W DCT PORTI N180A ALLEX DCT BGR DCT VLV OMBRE5
,9:25:00,TSC581,Air Transat,CYUL,A332,CGTSD,602,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 47N050W DCT PORTI N180A ALLEX DCT BGR DCT VLV OMBRE5
,11:50:00,ROU1917,Air Canada,CYYZ,B763,CGHLV,141,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 48N050W DCT NICSO N238A MIILS DCT YXI IMEBA3
,10:05:00,TAP648,TAP Air Portugal,EBBR,A319,CSTTK,104,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 VEKIN UZ173 ARVOL
,11:40:00,BEL61B,Brussels Airlines,EBBR,A319,OOSSQ,105,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 VEKIN UZ173 ARVOL
,15:00:00,TAP644,TAP Air Portugal,EBBR,A320,CSTVA,122,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 VEKIN UZ173 ARVOL
,16:30:00,RYR7QC,Ryanair,EBBR,B738,EIDCG,205,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 VEKIN UZ173 ARVOL
,12:35:00,RYR3JB,Ryanair,EBCI,B738,EIDPG,205,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 VEKIN UZ173 ARVOL
,16:15:00,RYR74NE,Ryanair,EDDB,B738,EIGJS,209,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UM163 TABOV UL976 TSU UN858 MASEK T200 RUDAK
,11:05:00,DLH58H,Lufthansa,EDDF,A321,DAISF,107,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UM163 TABOV UL976 TSU UN858 BITBU Z110 RASVO T180 UNOKO
,13:45:00,TAP576N,TAP Air Portugal,EDDF,A320,CSTNX,122,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UM163 TABOV UL976 TSU UN858 BITBU Z110 RASVO T180 UNOKO
,15:20:00,DLH42A,Lufthansa,EDDF,A321,DAISU,225,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UM163 TABOV UL976 TSU UN858 BITBU Z110 RASVO T180 UNOKO
,17:00:00,TAP566W,TAP Air Portugal,EDDH,A320,CSTNK,125,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 TOLEN DCT DOBAK UN125 REVLA T907 SORUN T903 RIBSO
,13:10:00,EWG6FR,Eurowings,EDDK,A320,DAKNJ,224,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UM163 TABOV UL976 TSU UM163 CTL UZ706 NVO
,13:20:00,TAP586,TAP Air Portugal,EDDK,E190,CSTPS,703,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UM163 TABOV UL976 TSU UM163 CTL UZ706 NVO
,15:15:00,EWG9JB,Eurowings,EDDL,A320,DABZE,221,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UM163 TABOV UL976 TSU UM163 CTL UZ706 NVO T857 BIKMU
,13:20:00,DLH55E,Lufthansa,EDDM,A321,DAIDF,414,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 DITON T103 OSDER
,12:25:00,TAP522,TAP Air Portugal,EDDS,E190,CSTPQ,804,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 DITON T163 ZUE T125 REUTL
,16:55:00,EWG9VR,Eurowings,EDDS,A319,DAGWC,224,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 DITON T163 ZUE T125 REUTL
,16:25:00,RYR78JY,Ryanair,EDDW,B738,EIFZP,208,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UM163 TABOV UL976 TSU UN858 VALEK DCT OSN UM170 BASUM T820 PIXU
,15:45:00,RYR819R,Ryanair,EDSB,B738,EIFZM,209,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 DITON T163 ZUE T125 ROMIR UN851 LOKTA N851 LEBSO Z714 SUL
,13:25:00,TAP324,TAP Air Portugal,EGCC,E190,CSTPV,702,IXIDA DCT BALNO DCT LOTEE UM30 SALCO UN864 MONTY
,14:45:00,EZY61GT,Easyjet,EGGW,A320,OELQN,200,IXIDA DCT BALNO DCT LOTEE UM30 QPR UN472 REVTU UP87 BOLRO UP83 KATHY UL980 AVANT
,11:55:00,TAP342D,TAP Air Portugal,EGKK,A320,CSTNS,221,IXIDA DCT BALNO DCT LOTEE UM30 QPR UN472 REVTU UP88 VASUX
,10:05:00,BAW501,British Airways,EGLL,A320,GTTNC,501,IXIDA DCT BALNO DCT LOTEE UM30 QPR UN472 REVTU UP87 ROXOG
,14:05:00,TAP356R,TAP Air Portugal,EGLL,A320,FHBIS,106,IXIDA DCT BALNO DCT LOTEE UM30 QPR UN472 REVTU UP87 ROXOG
,15:10:00,TAP364D,TAP Air Portugal,EGLL,A320,CSTNI,223,IXIDA DCT BALNO DCT LOTEE UM30 QPR UN472 REVTU UP87 ROXOG
,15:05:00,JCL3,Jetcall,EGPD,LJ31,DCGGG,704,IXIDA DCT BALNO DCT LOTEE UM30 SALCO UN864 NITON UP17 POL UP18 NATEB DCT BALID UP18 ADN
,14:10:00,RYR75VX,Ryanair,EGSS,B738,EIDPC,202,IXIDA DCT BALNO DCT LOTEE UM30 QPR UN472 REVTU UP87 BOLRO UP83 KATHY UL980 AVANT
